hv001,hv002,hv009,hv010,hv011,hv012,hv014,hv024,hv025,hv027,hv206,hv201,hv204,hv205,hv225,hv226,hv213,hv207,hv208,hv243a,hv221,hv210,hv211,hv212,hv243c,hv243d,hv209,hv244,hv245,hv246,hv247
2,179,4,0,0,4,2,1,2,0,0,14,120.0,22,1.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,0,,1,0
2,188,1,0,0,1,0,1,2,0,0,32,30.0,23,0.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,20.0,0,1
3,13,6,1,2,6,0,1,1,1,1,12,996.0,13,1.0,7,35,1,1,1,0,1.0,1.0,0.0,0,0,0,1,20.0,0,1
3,36,3,1,0,3,0,1,1,0,0,13,996.0,22,1.0,7,11,1,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,1
3,59,2,1,0,2,0,1,1,0,0,13,996.0,23,0.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,20.0,0,1
3,82,5,1,0,5,2,1,1,1,0,13,996.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,20.0,0,0
3,104,10,5,0,9,1,1,1,0,0,12,996.0,24,0.0,8,34,1,0,1,0,0.0,1.0,0.0,0,0,0,0,,1,0
3,127,5,1,0,5,2,1,1,0,1,12,996.0,13,0.0,7,33,0,1,1,0,1.0,1.0,1.0,0,0,0,0,,0,1
3,150,6,1,1,5,3,1,1,1,0,13,996.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,0,,1,0
3,172,7,1,0,7,2,1,1,0,0,13,996.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,0,,1,1
3,195,7,1,0,5,2,1,1,0,0,12,996.0,24,0.0,8,11,1,0,1,0,0.0,0.0,0.0,0,0,0,0,,1,0
3,218,2,1,1,2,0,1,1,1,1,12,996.0,13,0.0,7,33,0,1,1,0,0.0,0.0,0.0,1,0,1,1,20.0,1,1
3,240,5,2,0,5,0,1,1,0,0,13,996.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,0
3,263,7,1,0,7,1,1,1,0,0,13,996.0,23,0.0,7,11,0,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,0
3,286,3,0,2,3,0,1,1,1,0,13,996.0,23,0.0,7,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,100.0,1,0
3,308,8,1,0,8,2,1,1,0,1,13,996.0,24,0.0,7,35,1,0,1,0,1.0,0.0,0.0,0,0,0,0,,0,0
3,331,4,0,0,4,0,1,1,0,0,13,996.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,0,,1,1
3,354,4,2,0,4,0,1,1,0,1,12,996.0,22,0.0,8,34,0,0,1,0,0.0,1.0,0.0,0,0,0,1,80.0,0,1
3,376,1,1,0,1,0,1,1,1,1,12,996.0,12,1.0,7,34,0,1,1,0,0.0,0.0,0.0,0,0,0,0,,0,0
