DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
TZ201500000239,239,3173.25,3716.9880369999996,252.5192116,295.78850980000004,5354.125,0.05710497,7.0,2619.0,2581.0,38.125,8.0,0.418000879,0.54224649,0.09214381099999999,0.062008407,0.6522160889999999,1513.0625,297086.9864,8198.853481999999,295739.7767,611.0,733.0,61.9375
TZ201500000240,240,7012.577637,8214.185547,558.0431973999999,653.6641166,6372.875,0.19366953899999997,7.0,2862.0,2890.0,32.5,8.0,0.34661886299999994,0.482838505,0.09850741199999999,0.076363072,1.2077685040000001,1421.625,192001.4387,32797.28439,190889.1246,691.0,897.0,81.625
TZ201500000241,241,10387.98633,12167.97266,33.06598746,38.73185992,6162.15903,0.000194728,7.0,3321.3,3347.7,22.05660377,7.0,0.42390008700000004,0.571179575,0.0815468,0.11446446199999999,0.003181945,1646.951482,145989.8528,61054.60974,54567.65636,819.0,1001.8,363.7169811
TZ201500000242,242,1894.571655,2219.207275,150.765222,176.59890380000002,6612.8,0.005221811,7.0,3020.0,3055.0,25.8,7.0,0.45867937700000005,0.598755677,0.043905335999999996,0.084341474,0.17132638600000002,1739.6,96424.87825,97833.29296,16389.55734,590.0,685.0,97.6
TZ201500000243,243,10654.87891,12480.59766,33.91553293,39.72697621,6199.3262030000005,2.8000000000000003e-05,7.0,3138.1,3208.9,28.03743316,7.0,0.42648230299999995,0.573369204,0.068783425,0.11750762199999999,0.001139792,1659.280749,129445.4092,61536.909810000005,47630.118460000005,734.9,903.5,215.315508
TZ201500000244,244,220123.0781,257841.2656,700.6735194,820.7342391,9182.540541,0.106522721,7.0,3254.25,3238.333333,38.37466307,7.0,0.32633687100000003,0.484055544,0.057638377000000005,0.07702788299999999,0.48207054299999996,1423.643243,56411.80474,112045.0959,81053.68352,1049.916667,1100.166667,124.5027027
TZ201500000245,245,45101.17578,52829.28125,143.5615013,168.160825,9246.421622,0.00245914,7.0,3322.833333,3340.666667,26.81081081,7.0,0.353989956,0.5086757439999999,0.056386556,0.08449707699999999,0.0068352000000000005,1413.835135,78594.48202000001,93843.96673,82616.41151,977.75,1011.75,178.2216216
TZ201500000246,246,62251.42578,72918.23438,198.1524425,232.10594890000002,13218.11382,0.0008977130000000001,7.0,3856.5454549999995,3935.4545450000005,27.40220386,8.0,0.347981704,0.543065259,0.149568335,0.164905183,0.008647591999999999,1670.4037939999998,10552.43443,77379.40535,9385.747227,1191.1,1316.2,200.902439
TZ201500000247,247,28160.80664,32986.17188,2240.965789,2624.956154,13060.53333,0.20688300899999998,7.0,3377.0,3319.0,34.8,8.0,0.352007887,0.559416299,0.124254689,0.14729124300000002,0.703534883,1649.466667,5391.307,62301.16376,10135.49353,1205.0,1499.0,114.86666670000001
TZ201500000248,248,53488.48828,62653.765629999994,170.25914619999998,199.4331301,12718.65405,1.4300000000000002e-05,7.0,4154.333333,4127.833333,16.77837838,8.0,0.335945404,0.518528632,0.13263455,0.13624714300000001,0.000690838,1606.5108109999999,22906.46095,93177.06432,20910.43264,1211.2,1339.8,258.272973
TZ201500000249,249,84872.10938,99414.98438,270.1563148,316.4477236,12690.464,0.005314785,7.0,4033.4,4071.1,31.06914894,8.0,0.309746525,0.477277874,0.089555009,0.10573414199999999,0.013875769,1490.090667,38988.968089999995,110752.8861,61248.40116,1362.3,1563.1,178.832
TZ201500000250,250,23880.1875,27970.55273,76.01299765,89.03303456,12179.909090000001,0.00033434199999999995,7.0,3606.5,3618.6,21.424,8.0,0.32878154800000003,0.545388717,0.090785209,0.115987682,0.000914368,1518.040107,7883.844399,75032.74793,46746.3559,1321.222222,1546.666667,360.3048128
TZ201500000251,251,22497.09375,26351.98047,71.61047351,83.88095904,6838.451612999999,0.000406359,7.0,3080.8,3042.2,23.37196765,7.0,0.42634104100000003,0.565438246,0.078847814,0.090954034,0.0,1596.47043,38369.9472,152173.1003,47698.259589999994,913.0,1139.9,240.8306452
TZ201500000252,252,39714.09375,46519.11719,126.4138866,148.074949,8231.559459,0.00033110800000000004,7.0,3024.2,3024.9,36.37398374,7.0,0.374533906,0.523662992,0.048776589,0.068837784,0.0019682529999999997,1519.37027,48874.058860000005,128782.29199999999,61056.40788,917.3333332999998,1068.444444,123.2135135
TZ201500000253,253,42846.5,50188.26563,136.3846454,159.7542112,7485.081081,0.002092692,7.0,2836.8,2841.1,40.42587601,8.0,0.37954897,0.543345698,0.074442574,0.096054384,0.029100781000000003,1554.505405,14649.49215,141855.0372,85317.24352,865.4444444000001,1014.1111109999999,162.9810811
