hv001,hv002,total_household_members,hv010,hv011,hv012,hv014,hv024,hv025,hv027,financial_depriv,electricity_depriv,water_depriv,sanitation_depriv,cooking_fuel_depriv,floor_depriv,information_asset,mobility_asset,livelihood_asset,asset_depriv,hv108,malnutrition,child_under_5,woman_15_to_49,child_not_in_school,school_attainment_depriv,school_attendance_depriv,child_mortailty,total_of_weighted_deprivations,headcount_poor,total_poverty_intensity,DHSID_num,ADM1NAME,LATNUM,LONGNUM,geometry,index_right,COUNTRY,ADMIN0,ADM1_PCODE,REG_ID,REGION,REG_REPORT,SOURCE,Pop12,Male12,Female12,hh_size,sex_ratio,Shape_Leng,Shape_Area
1,99,2,1,0,2,0,1,2,0,1,1,1,1,1,1,0,0,1,1,1.0,0.0,0,1,0,0,0,1.0,0.5000000000000001,2,1.0000000000000002,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,105,4,1,0,4,1,1,2,0,1,1,1,1,1,1,0,0,1,1,1.0,0.0,1,1,0,0,0,0.0,0.33333333333333337,4,1.3333333333333335,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,111,3,1,1,3,1,1,2,1,0,1,1,1,1,1,1,0,1,0,2.0,0.0,1,1,0,0,0,1.0,0.44444444444444453,3,1.3333333333333335,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,16,3,1,0,3,1,1,2,0,0,1,1,1,1,1,1,0,1,0,0.0,0.0,1,1,0,1,0,0.0,0.44444444444444453,3,1.3333333333333335,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,25,7,1,0,7,2,1,2,0,1,1,1,1,1,1,1,0,1,0,2.0,1.0,1,1,0,0,0,0.0,0.44444444444444453,7,3.1111111111111116,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,59,6,1,0,6,2,1,2,1,0,1,1,1,1,1,1,1,1,0,2.0,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,68,6,1,0,6,2,1,2,0,1,1,1,1,1,1,1,1,1,0,2.0,2.0,1,1,0,0,0,0.0,0.6111111111111112,6,3.666666666666667,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,76,8,1,0,8,2,1,2,0,1,1,1,1,1,1,1,1,1,0,2.0,0.0,1,1,1,0,1,0.0,0.44444444444444453,8,3.5555555555555562,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,85,6,1,1,6,3,1,2,1,1,1,1,1,1,1,0,0,1,1,2.0,1.0,1,1,1,0,1,0.0,0.6666666666666667,6,4.0,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,93,6,1,0,6,0,1,2,0,1,1,1,1,1,1,1,0,1,0,2.0,0.0,0,1,0,0,0,0.0,0.2777777777777778,0,0.0,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
